group_id,Solar,Wind Offshore,Wind Onshore,totalRenewable,startTime,endTime,total,percentRenewable
0,0.0,165.75,178.0,343.75,202001010000,202001010100,7320.0,5
1,0.0,158.25,179.25,337.5,202001010100,202001010200,7165.0,5
2,0.0,166.25,192.0,358.25,202001010200,202001010300,7039.0,5
3,0.0,168.0,212.25,380.25,202001010300,202001010400,7235.0,5
4,0.0,166.0,234.0,400.0,202001010400,202001010500,7923.0,5
5,0.0,161.0,243.25,404.25,202001010500,202001010600,8698.0,5
6,0.0,159.5,260.5,420.0,202001010600,202001010700,9218.0,5
7,94.0,158.0,277.5,529.5,202001010700,202001010800,9828.0,5
8,341.0,143.25,269.0,753.25,202001010800,202001010900,10139.0,7
9,528.25,117.5,228.75,874.5,202001010900,202001011000,10361.0,8
10,591.5,107.25,192.0,890.75,202001011000,202001011100,10352.0,9
11,567.5,100.5,179.5,847.5,202001011100,202001011200,10573.0,8
12,452.25,107.25,199.5,759.0,202001011200,202001011300,10632.0,7
13,266.75,120.25,219.75,606.75,202001011300,202001011400,10688.0,6
14,93.75,135.5,245.75,475.0,202001011400,202001011500,10860.0,4
15,14.25,155.0,290.25,459.5,202001011500,202001011600,10862.0,4
16,0.0,195.0,353.25,548.25,202001011600,202001011700,10989.0,5
17,0.0,244.0,415.5,659.5,202001011700,202001011800,11240.0,6
18,0.0,263.5,434.75,698.25,202001011800,202001011900,11117.0,6
19,0.0,266.5,466.25,732.75,202001011900,202001012000,10679.0,7
20,0.0,271.25,489.75,761.0,202001012000,202001012100,10215.0,7
21,0.0,264.25,498.25,762.5,202001012100,202001012200,9960.0,8
22,0.0,237.25,485.0,722.25,202001012200,202001012300,9547.0,8
23,0.0,242.5,388.75,631.25,202001012300,202001020000,8721.0,7
24,0.0,249.75,385.75,635.5,202001020000,202001020100,8487.0,7
25,0.0,277.0,423.75,700.75,202001020100,202001020200,8258.0,8
26,0.0,318.0,487.5,805.5,202001020200,202001020300,8086.0,10
