group_id,Solar,Wind Onshore,totalRenewable,startTime,total,percentRenewable
121,0.0,51.75,51.75,202001060100,3361.25,2
122,0.0,31.5,31.5,202001060200,3312.25,1
123,0.0,35.75,35.75,202001060300,3281.0,1
124,0.0,31.5,31.5,202001060400,3313.25,1
125,0.0,14.25,14.25,202001060500,3496.0,0
126,7.0,1.75,8.75,202001060600,3528.0,0
127,88.0,1.0,89.0,202001060700,3626.75,2
128,237.25,1.0,238.25,202001060800,3773.5,6
129,354.25,0.5,354.75,202001060900,3910.25,9
130,401.5,0.0,401.5,202001061000,3957.0,10
131,389.0,0.0,389.0,202001061100,3949.25,10
132,307.25,0.0,307.25,202001061200,3837.5,8
133,172.75,0.75,173.5,202001061300,3672.0,5
134,45.5,2.75,48.25,202001061400,3563.0,1
135,0.25,7.25,7.5,202001061500,3532.0,0
136,0.0,17.5,17.5,202001061600,3540.5,0
137,0.0,29.25,29.25,202001061700,3535.25,1
138,0.0,34.0,34.0,202001061800,3559.75,1
139,0.0,35.5,35.5,202001061900,3555.75,1
140,0.0,35.0,35.0,202001062000,3555.5,1
141,0.0,34.25,34.25,202001062100,3494.75,1
142,0.0,37.5,37.5,202001062200,3439.0,1
143,0.0,44.75,44.75,202001062300,3459.0,1
144,0.0,55.5,55.5,202001070000,3486.75,2
145,0.0,57.25,57.25,202001070100,3426.25,2
146,0.0,48.75,48.75,202001070200,3382.5,1
147,0.0,42.75,42.75,202001070300,3385.5,1
148,0.0,44.5,44.5,202001070400,3532.25,1
149,9.25,50.75,60.0,202001070500,3674.0,2
150,43.25,51.0,94.25,202001070600,3712.25,3
151,110.5,38.5,149.0,202001070700,3803.25,4
152,193.5,14.5,208.0,202001070800,3951.0,5
153,252.0,2.75,254.75,202001070900,4094.25,6
154,258.5,0.5,259.0,202001071000,4153.25,6
155,217.0,0.0,217.0,202001071100,4050.0,5
156,156.5,0.0,156.5,202001071200,3923.5,4
157,97.25,0.0,97.25,202001071300,3730.0,3
158,53.5,0.0,53.5,202001071400,3604.5,1
159,15.0,1.0,16.0,202001071500,3559.0,0
160,0.0,2.0,2.0,202001071600,3563.0,0
161,0.0,4.0,4.0,202001071700,3567.75,0
162,0.0,4.5,4.5,202001071800,3570.25,0
163,0.0,7.0,7.0,202001071900,3562.25,0
164,0.0,10.25,10.25,202001072000,3564.0,0
165,0.0,9.0,9.0,202001072100,3532.5,0
166,0.0,7.5,7.5,202001072200,3498.5,0
167,0.0,19.5,19.5,202001072300,3455.5,1
168,0.0,15.5,15.5,202001080000,3449.25,0
169,0.0,9.5,9.5,202001080100,3382.75,0
170,0.0,7.5,7.5,202001080200,3381.0,0
171,0.0,6.75,6.75,202001080300,3400.5,0
172,0.0,3.0,3.0,202001080400,3423.5,0
173,0.0,2.75,2.75,202001080500,3504.0,0
174,6.75,4.75,11.5,202001080600,3518.5,0
175,75.25,6.75,82.0,202001080700,3541.25,2
176,206.5,9.75,216.25,202001080800,3621.25,6
177,314.75,9.0,323.75,202001080900,3751.25,9
178,360.5,8.0,368.5,202001081000,3827.0,10
179,352.5,6.5,359.0,202001081100,3815.75,9
180,283.0,6.75,289.75,202001081200,3735.75,8
181,161.75,9.5,171.25,202001081300,3609.25,5
182,44.5,14.0,58.5,202001081400,3513.5,2
183,0.5,23.25,23.75,202001081500,3478.75,1
184,0.0,54.25,54.25,202001081600,3481.5,2
185,0.0,63.25,63.25,202001081700,3513.25,2
186,0.0,51.0,51.0,202001081800,3548.0,1
187,0.0,40.75,40.75,202001081900,3581.25,1
188,0.0,43.5,43.5,202001082000,3593.0,1
189,0.0,36.5,36.5,202001082100,3526.5,1
190,0.0,27.25,27.25,202001082200,3524.25,1
191,0.0,21.25,21.25,202001082300,3471.5,1
192,0.0,21.0,21.0,202001090000,3495.5,1
193,0.0,16.5,16.5,202001090100,3425.25,0
194,0.0,18.0,18.0,202001090200,3401.25,1
195,0.0,19.5,19.5,202001090300,3420.75,1
196,0.0,26.75,26.75,202001090400,3471.75,1
197,0.0,34.5,34.5,202001090500,3571.5,1
198,2.75,32.0,34.75,202001090600,3598.5,1
199,32.0,24.75,56.75,202001090700,3632.0,2
200,84.25,26.75,111.0,202001090800,3700.5,3
201,128.75,30.0,158.75,202001090900,3750.0,4
202,150.75,24.0,174.75,202001091000,3773.25,5
203,153.0,32.5,185.5,202001091100,3787.0,5
204,134.5,40.5,175.0,202001091200,3742.5,5
205,82.75,49.0,131.75,202001091300,3698.75,4
206,24.0,57.25,81.25,202001091400,3649.0,2
207,0.75,67.0,67.75,202001091500,3628.5,2
208,0.0,76.25,76.25,202001091600,3649.75,2
209,0.0,82.5,82.5,202001091700,3647.5,2
210,0.0,95.5,95.5,202001091800,3634.0,3
211,0.0,114.0,114.0,202001091900,3633.0,3
