,Solar,Wind Onshore,startTime,endTime,totalRenewable,total,percentRenewable
0,,2146.0,202001010000,202001010100,2146.0,13411.0,16
1,,2055.0,202001010100,202001010200,2055.0,13270.0,15
2,,2002.0,202001010200,202001010300,2002.0,12942.0,15
3,,1975.0,202001010300,202001010400,1975.0,12644.0,16
4,,1954.0,202001010400,202001010500,1954.0,12533.0,16
5,,1941.0,202001010500,202001010600,1941.0,12430.0,16
6,,1943.0,202001010600,202001010700,1943.0,12390.0,16
7,,1974.0,202001010700,202001010800,1974.0,12325.0,16
8,,2007.0,202001010800,202001010900,2007.0,12667.0,16
9,,2093.0,202001010900,202001011000,2093.0,12928.0,16
10,,2211.0,202001011000,202001011100,2211.0,13197.0,17
11,,2334.0,202001011100,202001011200,2334.0,13490.0,17
12,,2433.0,202001011200,202001011300,2433.0,13682.0,18
13,,2516.0,202001011300,202001011400,2516.0,13841.0,18
14,,2605.0,202001011400,202001011500,2605.0,13521.0,19
15,,2697.0,202001011500,202001011600,2697.0,14373.0,19
16,,2772.0,202001011600,202001011700,2772.0,15643.0,18
17,,2828.0,202001011700,202001011800,2828.0,15643.0,18
18,,2799.0,202001011800,202001011900,2799.0,15749.0,18
19,,2713.0,202001011900,202001012000,2713.0,15101.0,18
20,,2627.0,202001012000,202001012100,2627.0,14442.0,18
21,,2601.0,202001012100,202001012200,2601.0,14134.0,18
22,,2641.0,202001012200,202001012300,2641.0,13607.0,19
23,,2344.0,202001012300,202001020000,2344.0,13623.0,17
24,,2367.0,202001020000,202001020100,2367.0,13565.0,17
25,,2358.0,202001020100,202001020200,2358.0,13295.0,18
26,,2315.0,202001020200,202001020300,2315.0,13268.0,17
27,,2284.0,202001020300,202001020400,2284.0,13334.0,17
28,,2267.0,202001020400,202001020500,2267.0,13884.0,16
29,,2292.0,202001020500,202001020600,2292.0,15476.0,15
30,,2337.0,202001020600,202001020700,2337.0,17760.0,13
31,,2350.0,202001020700,202001020800,2350.0,18539.0,13
32,,2310.0,202001020800,202001020900,2310.0,18555.0,12
33,,2194.0,202001020900,202001021000,2194.0,18239.0,12
34,,2008.0,202001021000,202001021100,2008.0,18191.0,11
35,,1850.0,202001021100,202001021200,1850.0,18230.0,10
36,,1798.0,202001021200,202001021300,1798.0,18107.0,10
37,,1880.0,202001021300,202001021400,1880.0,18082.0,10
38,,2034.0,202001021400,202001021500,2034.0,18464.0,11
39,,2151.0,202001021500,202001021600,2151.0,19628.0,11
40,,2208.0,202001021600,202001021700,2208.0,19714.0,11
41,,2243.0,202001021700,202001021800,2243.0,19197.0,12
42,,2276.0,202001021800,202001021900,2276.0,19093.0,12
43,,2307.0,202001021900,202001022000,2307.0,18276.0,13
44,,2344.0,202001022000,202001022100,2344.0,17012.0,14
45,,2404.0,202001022100,202001022200,2404.0,15566.0,15
46,,2499.0,202001022200,202001022300,2499.0,14548.0,17
