group_id,Solar,Wind Onshore,totalRenewable,startTime,total,percentRenewable
110,40.25,43.5,83.75,202203131300,96.5,87
111,28.0,48.25,76.25,202203131400,96.5,79
112,16.75,51.0,67.75,202203131500,95.5,71
113,6.75,50.0,56.75,202203131600,110.25,51
114,0.75,49.5,50.25,202203131700,112.25,45
115,0.0,45.5,45.5,202203131800,108.0,42
116,0.0,43.75,43.75,202203131900,104.75,42
117,0.0,41.0,41.0,202203132000,63.5,65
118,0.0,40.0,40.0,202203132100,60.75,66
119,0.0,37.0,37.0,202203132200,62.0,60
120,0.0,41.25,41.25,202203132300,61.75,67
121,0.0,34.5,34.5,202203140000,61.5,56
122,0.0,29.5,29.5,202203140100,60.75,49
123,0.0,25.0,25.0,202203140200,61.5,41
124,0.0,24.0,24.0,202203140300,62.0,39
125,0.0,24.5,24.5,202203140400,93.25,26
126,0.0,22.0,22.0,202203140500,105.25,21
127,4.75,19.0,23.75,202203140600,121.0,20
128,21.75,16.5,38.25,202203140700,129.5,30
129,57.75,15.75,73.5,202203140800,145.0,51
130,87.25,13.75,101.0,202203140900,132.0,77
131,105.75,11.25,117.0,202203141000,124.75,94
132,130.0,7.75,137.75,202203141100,118.25,116
133,136.5,5.25,141.75,202203141200,122.5,116
134,138.25,3.0,141.25,202203141300,126.5,112
135,120.0,1.75,121.75,202203141400,136.25,89
136,83.25,1.0,84.25,202203141500,131.25,64
137,37.0,0.5,37.5,202203141600,138.25,27
138,3.75,1.0,4.75,202203141700,144.5,3
139,0.0,2.0,2.0,202203141800,143.0,1
140,0.0,5.0,5.0,202203141900,147.75,3
141,0.0,9.75,9.75,202203142000,125.5,8
142,0.0,15.5,15.5,202203142100,123.5,13
143,0.0,21.5,21.5,202203142200,115.0,19
144,0.0,12.25,12.25,202203142300,124.75,10
145,0.0,15.25,15.25,202203150000,127.25,12
146,0.0,17.75,17.75,202203150100,119.25,15
147,0.0,20.0,20.0,202203150200,108.75,18
148,0.0,21.5,21.5,202203150300,107.0,20
