,Wind Onshore,startTime,totalRenewable,total,percentRenewable
151,6.0,202108250500,6.0,413.0,1
152,3.0,202108250600,3.0,414.0,1
153,1.0,202108250700,1.0,389.0,0
154,0.0,202108250800,0.0,390.0,0
155,0.0,202108250900,0.0,390.0,0
156,0.0,202108251000,0.0,385.0,0
157,0.0,202108251100,0.0,385.0,0
158,1.0,202108251200,1.0,385.0,0
159,1.0,202108251300,1.0,385.0,0
160,1.0,202108251400,1.0,400.0,0
161,2.0,202108251500,2.0,398.0,1
162,6.0,202108251600,6.0,397.0,2
163,13.0,202108251700,13.0,397.0,3
164,15.0,202108251800,15.0,402.0,4
165,14.0,202108251900,14.0,403.0,3
166,13.0,202108252000,13.0,403.0,3
167,12.0,202108252100,12.0,398.0,3
168,9.0,202108252200,9.0,394.0,2
169,8.0,202108252300,8.0,410.0,2
170,6.0,202108260000,6.0,409.0,1
171,4.0,202108260100,4.0,408.0,1
172,4.0,202108260200,4.0,408.0,1
173,3.0,202108260300,3.0,409.0,1
174,2.0,202108260400,2.0,407.0,0
175,1.0,202108260500,1.0,402.0,0
176,1.0,202108260600,1.0,403.0,0
177,1.0,202108260700,1.0,378.0,0
178,1.0,202108260800,1.0,379.0,0
179,1.0,202108260900,1.0,380.0,0
180,1.0,202108261000,1.0,376.0,0
181,2.0,202108261100,2.0,376.0,1
182,2.0,202108261200,2.0,377.0,1
183,2.0,202108261300,2.0,379.0,1
184,2.0,202108261400,2.0,394.0,1
185,2.0,202108261500,2.0,393.0,1
186,2.0,202108261600,2.0,393.0,1
187,3.0,202108261700,3.0,395.0,1
188,3.0,202108261800,3.0,407.0,1
189,3.0,202108261900,3.0,404.0,1
190,3.0,202108262000,3.0,402.0,1
191,4.0,202108262100,4.0,396.0,1
192,2.0,202108262200,2.0,399.0,1
193,2.0,202108262300,2.0,398.0,1
194,2.0,202108270000,2.0,397.0,1
195,2.0,202108270100,2.0,397.0,1
196,2.0,202108270200,2.0,396.0,1
197,2.0,202108270300,2.0,391.0,1
198,2.0,202108270400,2.0,392.0,1
199,2.0,202108270500,2.0,388.0,1
200,2.0,202108270600,2.0,389.0,1
201,2.0,202108270700,2.0,380.0,1
202,2.0,202108270800,2.0,381.0,1
203,2.0,202108270900,2.0,382.0,1
204,2.0,202108271000,2.0,377.0,1
205,2.0,202108271100,2.0,377.0,1
206,2.0,202108271200,2.0,377.0,1
207,2.0,202108271300,2.0,376.0,1
208,2.0,202108271400,2.0,376.0,1
209,2.0,202108271500,2.0,376.0,1
210,4.0,202108271600,4.0,395.0,1
