,Biomass,Fossil Gas,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Other renewable,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
43,,361.0,,1364.0,11192.0,20.0,,,1841.0,202001021900,202001022000,14397.0,1841.0,381.0,14778.0,97,12
44,,361.0,,1369.0,10410.0,23.0,,,1895.0,202001022000,202001022100,13674.0,1895.0,384.0,14058.0,97,13
45,,360.0,,1368.0,9550.0,22.0,,,1811.0,202001022100,202001022200,12729.0,1811.0,382.0,13111.0,97,14
46,,361.0,,1372.0,8441.0,20.0,,,1887.0,202001022200,202001022300,11700.0,1887.0,381.0,12081.0,97,16
47,,366.0,,1409.0,8208.0,20.0,,,1830.0,202001022300,202001030000,11447.0,1830.0,386.0,11833.0,97,15
48,,377.0,,1407.0,7926.0,25.0,,,1833.0,202001030000,202001030100,11166.0,1833.0,402.0,11568.0,97,16
49,,371.0,,1403.0,7326.0,25.0,,,1881.0,202001030100,202001030200,10610.0,1881.0,396.0,11006.0,96,17
50,,373.0,,1402.0,6760.0,24.0,,,1856.0,202001030200,202001030300,10018.0,1856.0,397.0,10415.0,96,18
51,,371.0,,1402.0,6584.0,24.0,,,1852.0,202001030300,202001030400,9838.0,1852.0,395.0,10233.0,96,18
52,,368.0,,1406.0,7300.0,23.0,,,1906.0,202001030400,202001030500,10612.0,1906.0,391.0,11003.0,96,17
53,,371.0,,1415.0,9564.0,24.0,,,1790.0,202001030500,202001030600,12769.0,1790.0,395.0,13164.0,97,14
54,,367.0,,1416.0,11309.0,23.0,,,1821.0,202001030600,202001030700,14546.0,1821.0,390.0,14936.0,97,12
55,,368.0,,1409.0,12981.0,24.0,,,1855.0,202001030700,202001030800,16245.0,1855.0,392.0,16637.0,98,11
56,,371.0,,1412.0,13626.0,24.0,,,1834.0,202001030800,202001030900,16872.0,1834.0,395.0,17267.0,98,11
57,,368.0,,1410.0,14199.0,23.0,,,1870.0,202001030900,202001031000,17479.0,1870.0,391.0,17870.0,98,10
58,,375.0,,1413.0,14746.0,22.0,,,1868.0,202001031000,202001031100,18027.0,1868.0,397.0,18424.0,98,10
59,,373.0,,1404.0,14768.0,21.0,,,1958.0,202001031100,202001031200,18130.0,1958.0,394.0,18524.0,98,11
60,,374.0,,1413.0,14593.0,22.0,,,1949.0,202001031200,202001031300,17955.0,1949.0,396.0,18351.0,98,11
61,,372.0,,1407.0,14675.0,21.0,,,1959.0,202001031300,202001031400,18041.0,1959.0,393.0,18434.0,98,11
62,,370.0,,1401.0,15114.0,22.0,,,1914.0,202001031400,202001031500,18429.0,1914.0,392.0,18821.0,98,10
63,,372.0,,1398.0,15350.0,19.0,,,1844.0,202001031500,202001031600,18592.0,1844.0,391.0,18983.0,98,10
