,Biomass,Fossil Gas,Hydro Run-of-river and poundage,Other,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS,Wind_per,Solar_per,Nuclear_per,Hydroelectricity_per,Geothermal_per,Natural Gas_per,Petroleum_per,Coal_per
79,68.0,49.0,736.0,77.0,42.0,202001040700,202001040800,846.0,42.0,126.0,972.0,87,4,4,0,0,75,0,5,0,0
80,70.0,49.0,753.0,77.0,46.0,202001040800,202001040900,869.0,46.0,126.0,995.0,87,5,4,0,0,75,0,4,0,0
81,73.0,49.0,837.0,77.0,40.0,202001040900,202001041000,950.0,40.0,126.0,1076.0,88,4,3,0,0,77,0,4,0,0
82,75.0,49.0,785.0,77.0,37.0,202001041000,202001041100,897.0,37.0,126.0,1023.0,88,4,3,0,0,76,0,4,0,0
83,77.0,49.0,717.0,77.0,33.0,202001041100,202001041200,827.0,33.0,126.0,953.0,87,3,3,0,0,75,0,5,0,0
84,79.0,49.0,868.0,77.0,22.0,202001041200,202001041300,969.0,22.0,126.0,1095.0,88,2,2,0,0,79,0,4,0,0
85,81.0,49.0,873.0,77.0,18.0,202001041300,202001041400,972.0,18.0,126.0,1098.0,89,2,1,0,0,79,0,4,0,0
86,83.0,50.0,920.0,77.0,19.0,202001041400,202001041500,1022.0,19.0,127.0,1149.0,89,2,1,0,0,80,0,4,0,0
87,83.0,50.0,960.0,77.0,18.0,202001041500,202001041600,1061.0,18.0,127.0,1188.0,89,2,1,0,0,80,0,4,0,0
88,80.0,50.0,966.0,77.0,19.0,202001041600,202001041700,1065.0,19.0,127.0,1192.0,89,2,1,0,0,81,0,4,0,0
89,79.0,50.0,959.0,78.0,22.0,202001041700,202001041800,1060.0,22.0,128.0,1188.0,89,2,1,0,0,80,0,4,0,0
90,79.0,50.0,911.0,78.0,25.0,202001041800,202001041900,1015.0,25.0,128.0,1143.0,89,2,2,0,0,79,0,4,0,0
91,79.0,49.0,819.0,78.0,31.0,202001041900,202001042000,929.0,31.0,127.0,1056.0,88,3,2,0,0,77,0,4,0,0
92,79.0,49.0,641.0,78.0,33.0,202001042000,202001042100,753.0,33.0,127.0,880.0,86,4,3,0,0,72,0,5,0,0
93,78.0,49.0,550.0,78.0,38.0,202001042100,202001042200,666.0,38.0,127.0,793.0,84,5,4,0,0,69,0,6,0,0
94,77.0,49.0,456.0,77.0,41.0,202001042200,202001042300,574.0,41.0,126.0,700.0,82,6,5,0,0,65,0,7,0,0
95,77.0,49.0,5.0,77.0,40.0,202001042300,202001050000,122.0,40.0,126.0,248.0,49,16,16,0,0,2,0,19,0,0
96,77.0,49.0,0.0,77.0,33.0,202001050000,202001050100,110.0,33.0,126.0,236.0,47,14,13,0,0,0,0,20,0,0
97,77.0,49.0,0.0,77.0,32.0,202001050100,202001050200,109.0,32.0,126.0,235.0,46,14,13,0,0,0,0,20,0,0
98,78.0,49.0,0.0,77.0,34.0,202001050200,202001050300,112.0,34.0,126.0,238.0,47,14,14,0,0,0,0,20,0,0
99,80.0,49.0,103.0,77.0,37.0,202001050300,202001050400,220.0,37.0,126.0,346.0,64,11,10,0,0,29,0,14,0,0
100,81.0,49.0,576.0,77.0,30.0,202001050400,202001050500,687.0,30.0,126.0,813.0,85,4,3,0,0,70,0,6,0,0
