,Wind Onshore,startTime,totalRenewable,total,percentRenewable
147,7.0,202001070300,7.0,460.0,2
148,6.0,202001070400,6.0,608.0,1
149,6.0,202001070500,6.0,751.0,1
150,9.0,202001070600,9.0,894.0,1
151,8.0,202001070700,8.0,979.0,1
152,9.0,202001070800,9.0,980.0,1
153,8.0,202001070900,8.0,903.0,1
154,9.0,202001071000,9.0,904.0,1
155,13.0,202001071100,13.0,908.0,1
156,14.0,202001071200,14.0,901.0,2
157,12.0,202001071300,12.0,992.0,1
158,10.0,202001071400,10.0,988.0,1
159,14.0,202001071500,14.0,990.0,1
160,19.0,202001071600,19.0,854.0,2
161,25.0,202001071700,25.0,790.0,3
162,24.0,202001071800,24.0,788.0,3
163,28.0,202001071900,28.0,790.0,4
164,26.0,202001072000,26.0,698.0,4
165,24.0,202001072100,24.0,439.0,5
166,28.0,202001072200,28.0,404.0,7
167,36.0,202001072300,36.0,230.0,16
168,36.0,202001080000,36.0,231.0,16
169,35.0,202001080100,35.0,230.0,15
170,38.0,202001080200,38.0,232.0,16
171,40.0,202001080300,40.0,233.0,17
172,43.0,202001080400,43.0,438.0,10
173,45.0,202001080500,45.0,606.0,7
174,46.0,202001080600,46.0,873.0,5
175,46.0,202001080700,46.0,1013.0,5
176,47.0,202001080800,47.0,1016.0,5
177,47.0,202001080900,47.0,1016.0,5
178,47.0,202001081000,47.0,1016.0,5
179,47.0,202001081100,47.0,1022.0,5
180,46.0,202001081200,46.0,1022.0,5
181,47.0,202001081300,47.0,1023.0,5
182,46.0,202001081400,46.0,1021.0,5
183,46.0,202001081500,46.0,1021.0,5
184,46.0,202001081600,46.0,1106.0,4
185,43.0,202001081700,43.0,1151.0,4
186,44.0,202001081800,44.0,1093.0,4
187,44.0,202001081900,44.0,1007.0,4
188,42.0,202001082000,42.0,912.0,5
189,38.0,202001082100,38.0,578.0,7
190,35.0,202001082200,35.0,400.0,9
191,34.0,202001082300,34.0,237.0,14
192,33.0,202001090000,33.0,234.0,14
193,32.0,202001090100,32.0,247.0,13
194,30.0,202001090200,30.0,246.0,12
195,30.0,202001090300,30.0,356.0,8
196,30.0,202001090400,30.0,592.0,5
197,29.0,202001090500,29.0,1125.0,3
198,26.0,202001090600,26.0,1288.0,2
199,21.0,202001090700,21.0,1272.0,2
200,20.0,202001090800,20.0,1223.0,2
201,18.0,202001090900,18.0,1220.0,1
202,17.0,202001091000,17.0,1237.0,1
203,17.0,202001091100,17.0,1236.0,1
204,15.0,202001091200,15.0,1229.0,1
205,14.0,202001091300,14.0,1210.0,1
206,14.0,202001091400,14.0,1211.0,1
207,13.0,202001091500,13.0,1229.0,1
208,11.0,202001091600,11.0,1208.0,1
209,10.0,202001091700,10.0,1208.0,1
210,8.0,202001091800,8.0,1127.0,1
211,7.0,202001091900,7.0,1122.0,1
212,7.0,202001092000,7.0,848.0,1
213,7.0,202001092100,7.0,568.0,1
214,6.0,202001092200,6.0,519.0,1
215,10.0,202001092300,10.0,353.0,3
216,10.0,202001100000,10.0,354.0,3
217,10.0,202001100100,10.0,352.0,3
218,10.0,202001100200,10.0,352.0,3
219,12.0,202001100300,12.0,455.0,3
220,11.0,202001100400,11.0,783.0,1
221,10.0,202001100500,10.0,1265.0,1
222,10.0,202001100600,10.0,1408.0,1
223,10.0,202001100700,10.0,1519.0,1
224,8.0,202001100800,8.0,1311.0,1
225,8.0,202001100900,8.0,1311.0,1
226,8.0,202001101000,8.0,1221.0,1
227,7.0,202001101100,7.0,1461.0,0
228,6.0,202001101200,6.0,1510.0,0
229,6.0,202001101300,6.0,1314.0,0
230,6.0,202001101400,6.0,1512.0,0
231,6.0,202001101500,6.0,1463.0,0
232,7.0,202001101600,7.0,1385.0,1
233,7.0,202001101700,7.0,1523.0,0
234,7.0,202001101800,7.0,1061.0,1
235,6.0,202001101900,6.0,974.0,1
236,7.0,202001102000,7.0,612.0,1
237,8.0,202001102100,8.0,404.0,2
238,8.0,202001102200,8.0,397.0,2
239,18.0,202001102300,18.0,590.0,3
240,20.0,202001110000,20.0,589.0,3
241,19.0,202001110100,19.0,584.0,3
242,21.0,202001110200,21.0,586.0,4
243,15.0,202001110300,15.0,690.0,2
244,11.0,202001110400,11.0,776.0,1
245,8.0,202001110500,8.0,936.0,1
246,6.0,202001110600,6.0,972.0,1
247,5.0,202001110700,5.0,972.0,1
248,5.0,202001110800,5.0,971.0,1
249,5.0,202001110900,5.0,971.0,1
250,5.0,202001111000,5.0,971.0,1
251,5.0,202001111100,5.0,971.0,1
252,6.0,202001111200,6.0,972.0,1
253,9.0,202001111300,9.0,883.0,1
254,14.0,202001111400,14.0,841.0,2
255,18.0,202001111500,18.0,755.0,2
256,24.0,202001111600,24.0,638.0,4
257,31.0,202001111700,31.0,545.0,6
258,42.0,202001111800,42.0,554.0,8
259,48.0,202001111900,48.0,557.0,9
260,48.0,202001112000,48.0,465.0,10
261,49.0,202001112100,49.0,466.0,11
262,49.0,202001112200,49.0,428.0,11
263,50.0,202001112300,50.0,251.0,20
264,50.0,202001120000,50.0,251.0,20
265,50.0,202001120100,50.0,250.0,20
266,50.0,202001120200,50.0,250.0,20
267,50.0,202001120300,50.0,251.0,20
268,50.0,202001120400,50.0,251.0,20
269,50.0,202001120500,50.0,423.0,12
270,50.0,202001120600,50.0,435.0,11
271,50.0,202001120700,50.0,654.0,8
272,50.0,202001120800,50.0,760.0,7
273,50.0,202001120900,50.0,967.0,5
274,50.0,202001121000,50.0,1023.0,5
275,50.0,202001121100,50.0,1023.0,5
276,50.0,202001121200,50.0,1023.0,5
277,50.0,202001121300,50.0,1022.0,5
278,49.0,202001121400,49.0,1024.0,5
279,48.0,202001121500,48.0,1024.0,5
280,48.0,202001121600,48.0,1024.0,5
281,46.0,202001121700,46.0,951.0,5
282,39.0,202001121800,39.0,922.0,4
283,30.0,202001121900,30.0,910.0,3
284,23.0,202001122000,23.0,808.0,3
285,16.0,202001122100,16.0,797.0,2
286,14.0,202001122200,14.0,653.0,2
287,8.0,202001122300,8.0,204.0,4
288,6.0,202001130000,6.0,202.0,3
289,5.0,202001130100,5.0,221.0,2
290,4.0,202001130200,4.0,221.0,2
291,5.0,202001130300,5.0,224.0,2
292,5.0,202001130400,5.0,317.0,2
