,Solar,startTime,totalRenewable,total,percentRenewable
25230,11.0,202211170600,11.0,8712.0,0
25231,49.0,202211170700,49.0,8831.0,1
25232,104.0,202211170800,104.0,9195.0,1
25233,153.0,202211170900,153.0,9373.0,2
25234,170.0,202211171000,170.0,9378.0,2
25235,167.0,202211171100,167.0,9246.0,2
25236,128.0,202211171200,128.0,9027.0,1
25237,84.0,202211171300,84.0,9264.0,1
25238,31.0,202211171400,31.0,8885.0,0
25239,5.0,202211171500,5.0,8992.0,0
25240,0.0,202211171600,0.0,9624.0,0
25241,0.0,202211171700,0.0,9691.0,0
25242,0.0,202211171800,0.0,9609.0,0
25243,0.0,202211171900,0.0,9459.0,0
25244,0.0,202211172000,0.0,9414.0,0
25245,0.0,202211172100,0.0,9183.0,0
25246,0.0,202211172200,0.0,8603.0,0
25247,0.0,202211172300,0.0,8654.0,0
25248,0.0,202211180000,0.0,8438.0,0
25249,0.0,202211180100,0.0,8226.0,0
25250,0.0,202211180200,0.0,8444.0,0
25251,0.0,202211180300,0.0,8227.0,0
25252,0.0,202211180400,0.0,8890.0,0
25253,0.0,202211180500,0.0,9994.0,0
25254,6.0,202211180600,6.0,10267.0,0
25255,23.0,202211180700,23.0,10319.0,0
25256,48.0,202211180800,48.0,10205.0,0
25257,70.0,202211180900,70.0,10291.0,1
25258,79.0,202211181000,79.0,10263.0,1
25259,65.0,202211181100,65.0,10259.0,1
25260,52.0,202211181200,52.0,10165.0,1
25261,45.0,202211181300,45.0,10246.0,0
25262,20.0,202211181400,20.0,10173.0,0
25263,5.0,202211181500,5.0,10257.0,0
25264,0.0,202211181600,0.0,10255.0,0
25265,0.0,202211181700,0.0,10146.0,0
25266,0.0,202211181800,0.0,10042.0,0
25267,0.0,202211181900,0.0,9746.0,0
25268,0.0,202211182000,0.0,9669.0,0
25269,0.0,202211182100,0.0,9438.0,0
25270,0.0,202211182200,0.0,9394.0,0
25271,0.0,202211182300,0.0,8893.0,0
25272,0.0,202211190000,0.0,8271.0,0
25273,0.0,202211190100,0.0,8095.0,0
25274,0.0,202211190200,0.0,8085.0,0
25275,0.0,202211190300,0.0,8039.0,0
25276,0.0,202211190400,0.0,8092.0,0
25277,0.0,202211190500,0.0,8957.0,0
25278,36.0,202211190600,36.0,9446.0,0
25279,188.0,202211190700,188.0,9912.0,2
25280,385.0,202211190800,385.0,10063.0,4
25281,498.0,202211190900,498.0,9962.0,5
25282,457.0,202211191000,457.0,9929.0,5
25283,390.0,202211191100,390.0,9854.0,4
25284,234.0,202211191200,234.0,9700.0,2
25285,110.0,202211191300,110.0,9572.0,1
25286,37.0,202211191400,37.0,9710.0,0
25287,6.0,202211191500,6.0,9851.0,0
25288,0.0,202211191600,0.0,10086.0,0
25289,0.0,202211191700,0.0,10080.0,0
25290,0.0,202211191800,0.0,9934.0,0
25291,0.0,202211191900,0.0,9755.0,0
25292,0.0,202211192000,0.0,9569.0,0
25293,0.0,202211192100,0.0,9488.0,0
25294,0.0,202211192200,0.0,9476.0,0
25295,0.0,202211192300,0.0,9217.0,0
25296,0.0,202211200000,0.0,8486.0,0
25297,0.0,202211200100,0.0,8177.0,0
25298,0.0,202211200200,0.0,8158.0,0
25299,0.0,202211200300,0.0,8156.0,0
25300,0.0,202211200400,0.0,8472.0,0
25301,0.0,202211200500,0.0,9279.0,0
25302,15.0,202211200600,15.0,9316.0,0
25303,77.0,202211200700,77.0,9500.0,1
25304,166.0,202211200800,166.0,9597.0,2
25305,235.0,202211200900,235.0,9670.0,2
25306,258.0,202211201000,258.0,9692.0,3
25307,217.0,202211201100,217.0,9650.0,2
25308,168.0,202211201200,168.0,9608.0,2
25309,88.0,202211201300,88.0,9567.0,1
25310,30.0,202211201400,30.0,9571.0,0
25311,3.0,202211201500,3.0,9774.0,0
25312,0.0,202211201600,0.0,9937.0,0
25313,0.0,202211201700,0.0,9989.0,0
25314,0.0,202211201800,0.0,9994.0,0
25315,0.0,202211201900,0.0,9860.0,0
25316,0.0,202211202000,0.0,9640.0,0
25317,0.0,202211202100,0.0,9644.0,0
25318,0.0,202211202200,0.0,9574.0,0
25319,0.0,202211202300,0.0,8376.0,0
25320,0.0,202211210000,0.0,8930.0,0
25321,0.0,202211210100,0.0,8412.0,0
25322,0.0,202211210200,0.0,8945.0,0
25323,0.0,202211210300,0.0,9490.0,0
25324,0.0,202211210400,0.0,9592.0,0
25325,0.0,202211210500,0.0,9929.0,0
25326,13.0,202211210600,13.0,10298.0,0
25327,66.0,202211210700,66.0,10743.0,1
25328,150.0,202211210800,150.0,11055.0,1
25329,226.0,202211210900,226.0,11003.0,2
25330,272.0,202211211000,272.0,11078.0,2
25331,268.0,202211211100,268.0,11095.0,2
25332,214.0,202211211200,214.0,11027.0,2
25333,134.0,202211211300,134.0,11183.0,1
25334,55.0,202211211400,55.0,11473.0,0
25335,7.0,202211211500,7.0,11730.0,0
25336,0.0,202211211600,0.0,11711.0,0
25337,0.0,202211211700,0.0,11621.0,0
25338,0.0,202211211800,0.0,11503.0,0
25339,0.0,202211211900,0.0,10890.0,0
25340,0.0,202211212000,0.0,10586.0,0
25341,0.0,202211212100,0.0,10597.0,0
25342,0.0,202211212200,0.0,10232.0,0
25343,0.0,202211212300,0.0,8498.0,0
25344,0.0,202211220000,0.0,8057.0,0
25345,0.0,202211220100,0.0,8113.0,0
25346,0.0,202211220200,0.0,7727.0,0
25347,0.0,202211220300,0.0,8059.0,0
25348,0.0,202211220400,0.0,8979.0,0
25349,0.0,202211220500,0.0,9941.0,0
25350,11.0,202211220600,11.0,10137.0,0
25351,57.0,202211220700,57.0,10638.0,1
25352,116.0,202211220800,116.0,10538.0,1
25353,149.0,202211220900,149.0,10375.0,1
25354,156.0,202211221000,156.0,10292.0,2
25355,133.0,202211221100,133.0,10371.0,1
25356,107.0,202211221200,107.0,10433.0,1
25357,63.0,202211221300,63.0,10488.0,1
25358,25.0,202211221400,25.0,10445.0,0
25359,5.0,202211221500,5.0,10141.0,0
25360,0.0,202211221600,0.0,10257.0,0
25361,0.0,202211221700,0.0,10364.0,0
25362,0.0,202211221800,0.0,10368.0,0
25363,0.0,202211221900,0.0,10142.0,0
25364,0.0,202211222000,0.0,10067.0,0
25365,0.0,202211222100,0.0,10063.0,0
25366,0.0,202211222200,0.0,9832.0,0
25367,0.0,202211222300,0.0,8264.0,0
25368,0.0,202211230000,0.0,8250.0,0
25369,0.0,202211230100,0.0,8261.0,0
25370,0.0,202211230200,0.0,8149.0,0
25371,0.0,202211230300,0.0,8283.0,0
25372,0.0,202211230400,0.0,9298.0,0
25373,0.0,202211230500,0.0,10017.0,0
25374,10.0,202211230600,10.0,10484.0,0
25375,54.0,202211230700,54.0,10524.0,1
25376,140.0,202211230800,140.0,10307.0,1
25377,235.0,202211230900,235.0,10454.0,2
25378,272.0,202211231000,272.0,10496.0,3
25379,245.0,202211231100,245.0,10445.0,2
25380,171.0,202211231200,171.0,10344.0,2
25381,116.0,202211231300,116.0,10384.0,1
25382,41.0,202211231400,41.0,10341.0,0
25383,7.0,202211231500,7.0,10674.0,0
25384,0.0,202211231600,0.0,10382.0,0
25385,0.0,202211231700,0.0,10334.0,0
25386,0.0,202211231800,0.0,10160.0,0
25387,0.0,202211231900,0.0,9991.0,0
25388,0.0,202211232000,0.0,9877.0,0
25389,0.0,202211232100,0.0,9735.0,0
25390,0.0,202211232200,0.0,9640.0,0
25391,0.0,202211232300,0.0,8873.0,0
25392,0.0,202211240000,0.0,8596.0,0
25393,0.0,202211240100,0.0,8619.0,0
25394,0.0,202211240200,0.0,8618.0,0
25395,0.0,202211240300,0.0,8632.0,0
25396,0.0,202211240400,0.0,9468.0,0
25397,0.0,202211240500,0.0,10305.0,0
25398,9.0,202211240600,9.0,10745.0,0
25399,65.0,202211240700,65.0,11242.0,1
25400,164.0,202211240800,164.0,11468.0,1
25401,259.0,202211240900,259.0,11345.0,2
25402,282.0,202211241000,282.0,11265.0,3
25403,246.0,202211241100,246.0,11127.0,2
25404,157.0,202211241200,157.0,11045.0,1
25405,100.0,202211241300,100.0,11089.0,1
25406,36.0,202211241400,36.0,10943.0,0
25407,6.0,202211241500,6.0,11014.0,0
25408,0.0,202211241600,0.0,11115.0,0
25409,0.0,202211241700,0.0,10917.0,0
25410,0.0,202211241800,0.0,10877.0,0
25411,0.0,202211241900,0.0,10290.0,0
25412,0.0,202211242000,0.0,10065.0,0
25413,0.0,202211242100,0.0,10062.0,0
25414,0.0,202211242200,0.0,10035.0,0
25415,0.0,202211242300,0.0,8562.0,0
25416,0.0,202211250000,0.0,8051.0,0
25417,0.0,202211250100,0.0,7866.0,0
25418,0.0,202211250200,0.0,7774.0,0
25419,0.0,202211250300,0.0,7954.0,0
25420,0.0,202211250400,0.0,8655.0,0
25421,0.0,202211250500,0.0,9643.0,0
25422,19.0,202211250600,19.0,10840.0,0
25423,115.0,202211250700,115.0,11138.0,1
25424,267.0,202211250800,267.0,10853.0,2
25425,403.0,202211250900,403.0,10928.0,4
25426,471.0,202211251000,471.0,10792.0,4
25427,485.0,202211251100,485.0,10731.0,5
25428,457.0,202211251200,457.0,10715.0,4
25429,285.0,202211251300,285.0,10651.0,3
25430,96.0,202211251400,96.0,10698.0,1
25431,11.0,202211251500,11.0,10688.0,0
25432,0.0,202211251600,0.0,10845.0,0
25433,0.0,202211251700,0.0,10824.0,0
25434,0.0,202211251800,0.0,10621.0,0
25435,0.0,202211251900,0.0,10337.0,0
25436,0.0,202211252000,0.0,9616.0,0
25437,0.0,202211252100,0.0,9433.0,0
25438,0.0,202211252200,0.0,9308.0,0
25439,0.0,202211252300,0.0,8978.0,0
25440,0.0,202211260000,0.0,8513.0,0
25441,0.0,202211260100,0.0,7774.0,0
25442,0.0,202211260200,0.0,7764.0,0
25443,0.0,202211260300,0.0,7767.0,0
25444,0.0,202211260400,0.0,7913.0,0
25445,0.0,202211260500,0.0,8913.0,0
25446,8.0,202211260600,8.0,8945.0,0
25447,59.0,202211260700,59.0,9032.0,1
25448,154.0,202211260800,154.0,9520.0,2
25449,250.0,202211260900,250.0,9277.0,3
25450,296.0,202211261000,296.0,9316.0,3
25451,298.0,202211261100,298.0,9291.0,3
25452,243.0,202211261200,243.0,9173.0,3
25453,183.0,202211261300,183.0,9118.0,2
25454,62.0,202211261400,62.0,8997.0,1
25455,6.0,202211261500,6.0,9185.0,0
25456,0.0,202211261600,0.0,9494.0,0
25457,0.0,202211261700,0.0,9391.0,0
25458,0.0,202211261800,0.0,9044.0,0
25459,0.0,202211261900,0.0,8903.0,0
25460,0.0,202211262000,0.0,8870.0,0
25461,0.0,202211262100,0.0,8849.0,0
25462,0.0,202211262200,0.0,8827.0,0
25463,0.0,202211262300,0.0,8589.0,0
25464,0.0,202211270000,0.0,7928.0,0
