,Solar,Wind Onshore,startTime,totalRenewable,total,percentRenewable
135,0.0,37.0,202001261400,37.0,677.0,5
136,0.0,37.0,202001261500,37.0,794.0,5
137,0.0,37.0,202001261600,37.0,799.0,5
138,0.0,37.0,202001261700,37.0,704.0,5
139,0.0,37.0,202001261800,37.0,568.0,7
140,0.0,37.0,202001261900,37.0,539.0,7
141,0.0,37.0,202001262000,37.0,452.0,8
142,0.0,37.0,202001262100,37.0,380.0,10
143,0.0,37.0,202001262200,37.0,385.0,10
144,0.0,37.0,202001262300,37.0,383.0,10
145,0.0,37.0,202001270000,37.0,375.0,10
146,0.0,37.0,202001270100,37.0,365.0,10
147,0.0,37.0,202001270200,37.0,358.0,10
148,0.0,37.0,202001270300,37.0,356.0,10
149,0.0,37.0,202001270400,37.0,391.0,9
150,0.0,37.0,202001270500,37.0,517.0,7
151,0.0,37.0,202001270600,37.0,676.0,5
152,0.0,37.0,202001270700,37.0,726.0,5
153,0.0,37.0,202001270800,37.0,720.0,5
154,0.0,37.0,202001270900,37.0,713.0,5
155,0.0,37.0,202001271000,37.0,708.0,5
156,0.0,37.0,202001271100,37.0,706.0,5
157,0.0,37.0,202001271200,37.0,708.0,5
158,0.0,37.0,202001271300,37.0,711.0,5
159,0.0,37.0,202001271400,37.0,751.0,5
160,0.0,37.0,202001271500,37.0,721.0,5
161,0.0,37.0,202001271600,37.0,763.0,5
162,0.0,37.0,202001271700,37.0,732.0,5
163,0.0,37.0,202001271800,37.0,686.0,5
164,0.0,37.0,202001271900,37.0,640.0,6
165,0.0,37.0,202001272000,37.0,508.0,7
166,0.0,37.0,202001272100,37.0,465.0,8
167,0.0,37.0,202001272200,37.0,357.0,10
168,0.0,37.0,202001272300,37.0,354.0,10
169,0.0,37.0,202001280000,37.0,349.0,11
170,0.0,37.0,202001280100,37.0,346.0,11
171,0.0,37.0,202001280200,37.0,348.0,11
172,0.0,37.0,202001280300,37.0,351.0,11
173,0.0,37.0,202001280400,37.0,400.0,9
174,0.0,37.0,202001280500,37.0,625.0,6
175,0.0,37.0,202001280600,37.0,733.0,5
176,0.0,37.0,202001280700,37.0,726.0,5
177,0.0,37.0,202001280800,37.0,719.0,5
178,0.0,37.0,202001280900,37.0,714.0,5
179,0.0,37.0,202001281000,37.0,707.0,5
180,0.0,37.0,202001281100,37.0,702.0,5
181,0.0,37.0,202001281200,37.0,701.0,5
182,0.0,37.0,202001281300,37.0,732.0,5
183,0.0,37.0,202001281400,37.0,732.0,5
184,0.0,37.0,202001281500,37.0,731.0,5
185,0.0,37.0,202001281600,37.0,732.0,5
186,0.0,37.0,202001281700,37.0,732.0,5
187,0.0,37.0,202001281800,37.0,732.0,5
188,0.0,37.0,202001281900,37.0,651.0,6
189,0.0,37.0,202001282000,37.0,598.0,6
190,0.0,37.0,202001282100,37.0,502.0,7
191,0.0,37.0,202001282200,37.0,423.0,9
192,0.0,37.0,202001282300,37.0,303.0,12
193,0.0,37.0,202001290000,37.0,302.0,12
194,0.0,37.0,202001290100,37.0,301.0,12
195,0.0,37.0,202001290200,37.0,299.0,12
196,0.0,37.0,202001290300,37.0,298.0,12
197,0.0,37.0,202001290400,37.0,448.0,8
198,0.0,37.0,202001290500,37.0,599.0,6
199,0.0,37.0,202001290600,37.0,690.0,5
200,0.0,37.0,202001290700,37.0,690.0,5
201,0.0,37.0,202001290800,37.0,690.0,5
202,0.0,37.0,202001290900,37.0,689.0,5
203,0.0,37.0,202001291000,37.0,689.0,5
204,0.0,37.0,202001291100,37.0,688.0,5
205,0.0,37.0,202001291200,37.0,688.0,5
206,0.0,37.0,202001291300,37.0,718.0,5
207,0.0,37.0,202001291400,37.0,663.0,6
208,0.0,37.0,202001291500,37.0,719.0,5
209,0.0,37.0,202001291600,37.0,719.0,5
210,0.0,37.0,202001291700,37.0,719.0,5
211,0.0,37.0,202001291800,37.0,714.0,5
212,0.0,37.0,202001291900,37.0,633.0,6
213,0.0,37.0,202001292000,37.0,583.0,6
214,0.0,37.0,202001292100,37.0,419.0,9
215,0.0,37.0,202001292200,37.0,438.0,8
216,0.0,37.0,202001292300,37.0,304.0,12
217,0.0,37.0,202001300000,37.0,284.0,13
218,0.0,37.0,202001300100,37.0,285.0,13
219,0.0,37.0,202001300200,37.0,285.0,13
220,0.0,37.0,202001300300,37.0,359.0,10
221,0.0,37.0,202001300400,37.0,465.0,8
222,0.0,37.0,202001300500,37.0,635.0,6
223,0.0,37.0,202001300600,37.0,675.0,5
224,0.0,37.0,202001300700,37.0,675.0,5
225,0.0,37.0,202001300800,37.0,675.0,5
226,0.0,37.0,202001300900,37.0,674.0,5
227,0.0,37.0,202001301000,37.0,673.0,5
228,0.0,37.0,202001301100,37.0,673.0,5
229,0.0,37.0,202001301200,37.0,673.0,5
230,0.0,37.0,202001301300,37.0,673.0,5
231,0.0,37.0,202001301400,37.0,693.0,5
232,0.0,37.0,202001301500,37.0,694.0,5
233,0.0,37.0,202001301600,37.0,696.0,5
234,0.0,37.0,202001301700,37.0,697.0,5
235,0.0,37.0,202001301800,37.0,696.0,5
236,0.0,37.0,202001301900,37.0,635.0,6
237,0.0,37.0,202001302000,37.0,525.0,7
238,0.0,37.0,202001302100,37.0,365.0,10
239,0.0,37.0,202001302200,37.0,397.0,9
240,0.0,37.0,202001302300,37.0,327.0,11
241,0.0,37.0,202001310000,37.0,259.0,14
242,0.0,37.0,202001310100,37.0,263.0,14
243,0.0,37.0,202001310200,37.0,267.0,14
244,0.0,37.0,202001310300,37.0,272.0,14
245,0.0,37.0,202001310400,37.0,279.0,13
246,0.0,37.0,202001310500,37.0,325.0,11
247,0.0,37.0,202001310600,37.0,327.0,11
248,0.0,37.0,202001310700,37.0,330.0,11
249,0.0,37.0,202001310800,37.0,331.0,11
250,0.0,37.0,202001310900,37.0,333.0,11
251,0.0,37.0,202001311000,37.0,333.0,11
252,0.0,37.0,202001311100,37.0,332.0,11
253,0.0,37.0,202001311200,37.0,335.0,11
254,0.0,37.0,202001311300,37.0,338.0,11
255,0.0,37.0,202001311400,37.0,494.0,7
256,0.0,37.0,202001311500,37.0,616.0,6
257,0.0,37.0,202001311600,37.0,621.0,6
258,0.0,37.0,202001311700,37.0,609.0,6
259,0.0,37.0,202001311800,37.0,486.0,8
260,0.0,37.0,202001311900,37.0,364.0,10
261,0.0,37.0,202001312000,37.0,364.0,10
262,0.0,37.0,202001312100,37.0,350.0,11
263,0.0,37.0,202001312200,37.0,308.0,12
264,0.0,37.0,202001312300,37.0,307.0,12
265,0.0,37.0,202002010000,37.0,305.0,12
266,0.0,37.0,202002010100,37.0,303.0,12
267,0.0,37.0,202002010200,37.0,303.0,12
268,0.0,37.0,202002010300,37.0,303.0,12
269,0.0,37.0,202002010400,37.0,303.0,12
270,0.0,37.0,202002010500,37.0,335.0,11
271,0.0,37.0,202002010600,37.0,332.0,11
272,0.0,37.0,202002010700,37.0,328.0,11
273,0.0,37.0,202002010800,37.0,324.0,11
274,0.0,37.0,202002010900,37.0,316.0,12
275,0.0,37.0,202002011000,37.0,309.0,12
276,0.0,37.0,202002011100,37.0,308.0,12
277,0.0,37.0,202002011200,37.0,312.0,12
278,0.0,37.0,202002011300,37.0,319.0,12
279,0.0,37.0,202002011400,37.0,469.0,8
280,0.0,37.0,202002011500,37.0,504.0,7
281,0.0,37.0,202002011600,37.0,546.0,7
282,0.0,37.0,202002011700,37.0,546.0,7
283,0.0,37.0,202002011800,37.0,543.0,7
