group_id,Solar,Wind Offshore,Wind Onshore,totalRenewable,startTime,total,percentRenewable
94,0.0,1642.5,16192.25,17834.75,202001042200,55475.0,32
95,0.0,1515.75,14233.0,15748.75,202001042300,51928.0,30
96,0.0,1282.5,12209.0,13491.5,202001050000,48532.0,28
97,0.0,1135.75,10545.5,11681.25,202001050100,46584.0,25
98,0.0,1104.25,9016.0,10120.25,202001050200,44592.0,23
99,0.0,1265.75,7804.75,9070.5,202001050300,43752.0,21
100,0.0,1626.0,7110.25,8736.25,202001050400,43701.0,20
101,0.0,2078.75,6680.5,8759.25,202001050500,43998.0,20
102,0.0,2594.0,6436.5,9030.5,202001050600,45178.0,20
103,307.0,3126.5,6517.0,9950.5,202001050700,47410.0,21
104,2084.0,3602.25,6608.0,12294.25,202001050800,51250.0,24
105,4257.5,4016.0,6470.25,14743.75,202001050900,54886.0,27
106,5728.0,4442.25,6326.75,16497.0,202001051000,57913.0,28
107,6088.0,4848.25,6316.5,17252.75,202001051100,58733.0,29
108,5309.0,5114.5,6512.75,16936.25,202001051200,57264.0,30
109,3605.25,5274.25,7065.5,15945.0,202001051300,54985.0,29
110,1425.75,5418.0,7809.75,14653.5,202001051400,53274.0,28
111,95.0,5575.25,8737.75,14408.0,202001051500,54144.0,27
112,0.0,5740.75,9877.5,15618.25,202001051600,58000.0,27
113,0.0,5900.25,11030.25,16930.5,202001051700,60946.0,28
114,0.0,6072.5,11929.0,18001.5,202001051800,61922.0,29
115,0.0,6176.5,12483.75,18660.25,202001051900,60944.0,31
116,0.0,6208.0,12769.0,18977.0,202001052000,59215.0,32
117,0.0,6210.25,12720.25,18930.5,202001052100,58604.0,32
118,0.0,6157.0,12606.0,18763.0,202001052200,56806.0,33
119,0.0,5862.5,12380.5,18243.0,202001052300,55048.0,33
120,0.0,5863.5,12196.0,18059.5,202001060000,53521.0,34
121,0.0,5814.5,12060.5,17875.0,202001060100,53227.0,34
122,0.0,5769.25,11768.75,17538.0,202001060200,52153.0,34
123,0.0,5682.25,11289.25,16971.5,202001060300,52252.0,32
124,0.0,5535.75,10667.0,16202.75,202001060400,53823.0,30
125,0.0,5397.0,10102.0,15499.0,202001060500,56902.0,27
126,0.0,5327.25,9704.25,15031.5,202001060600,60424.0,25
127,249.0,5275.25,9463.5,14987.75,202001060700,63861.0,23
128,2031.75,5270.0,9362.5,16664.25,202001060800,66506.0,25
129,4694.5,5384.0,9017.0,19095.5,202001060900,68600.0,28
130,6678.25,5515.5,8330.25,20524.0,202001061000,69817.0,29
131,7462.0,5602.5,7633.75,20698.25,202001061100,71178.0,29
132,7006.5,5697.0,7115.25,19818.75,202001061200,69593.0,28
133,5132.25,5802.5,6902.75,17837.5,202001061300,66869.0,27
134,2163.5,5852.75,7061.5,15077.75,202001061400,63182.0,24
135,160.75,5847.0,7852.75,13860.5,202001061500,62449.0,22
136,0.0,5832.5,9191.75,15024.25,202001061600,66384.0,23
137,0.0,5835.75,10616.0,16451.75,202001061700,68368.0,24
138,0.0,5802.25,11805.5,17607.75,202001061800,69918.0,25
